date,entry_date,exit_date,ticker,signal,signal_quality,confidence,expected_return,position_pct,regime_mult,regime_state,vix_at_trade,entry_price,exit_price,holding_days,net_pnl,sector
2015-03-30,2015-03-31,2015-04-08,MSFT,LONG,MEDIUM,62.44,0.58,15.0,1.0,bull,14.5,34.9986,35.406,5,17.57,XLK
2015-03-31,2015-04-01,2015-04-09,MSFT,LONG,MEDIUM,62.44,0.68,15.0,1.0,neutral,15.3,34.8441,35.4572,5,26.71,XLK
2015-04-01,2015-04-02,2015-04-10,MSFT,LONG,MEDIUM,61.85,0.55,15.0,1.0,neutral,15.1,34.8956,35.6624,5,33.49,XLK
2015-04-02,2015-04-06,2015-04-13,MSFT,LONG,MEDIUM,61.85,0.67,15.0,1.0,neutral,14.7,34.621,35.6966,5,47.15,XLK
2015-04-07,2015-04-08,2015-04-15,MSFT,LONG,MEDIUM,60.21,0.48,15.0,1.0,bull,14.8,35.5822,36.124,5,23.5,XLK
2015-04-08,2015-04-09,2015-04-16,MSFT,LONG,MEDIUM,60.98,0.56,15.0,1.0,bull,14.0,35.402,36.0385,5,27.76,XLK
2015-04-21,2015-04-22,2015-04-29,MSFT,LONG,MEDIUM,60.44,0.88,15.0,1.0,neutral,13.2,36.6206,41.9367,5,228.86,XLK
2015-04-22,2015-04-23,2015-04-30,MSFT,LONG,MEDIUM,60.44,0.78,15.0,1.0,neutral,12.7,36.8095,41.5776,5,204.35,XLK
2015-05-11,2015-05-12,2015-05-19,MSFT,LONG,MEDIUM,62.72,0.67,15.0,1.0,bull,13.9,40.2081,40.9359,5,29.36,XLK
2015-05-12,2015-05-13,2015-05-20,MSFT,LONG,MEDIUM,60.88,0.6,15.0,1.0,neutral,13.9,41.3581,40.9359,5,-17.21,XLK
2015-05-13,2015-05-14,2015-05-21,MSFT,LONG,MEDIUM,62.72,0.45,15.0,1.0,neutral,13.8,41.2207,40.7982,5,-17.26,XLK
2015-05-15,2015-05-18,2015-05-26,MSFT,LONG,MEDIUM,61.34,0.34,15.0,1.0,bull,12.4,41.1778,40.0841,5,-44.29,XLK
2015-05-18,2015-05-19,2015-05-27,MSFT,LONG,MEDIUM,60.41,0.39,15.0,1.0,bull,12.7,41.0827,40.9617,5,-5.25,XLK
2015-05-19,2015-05-20,2015-05-28,MSFT,LONG,MEDIUM,60.41,0.44,15.0,1.0,bull,12.9,40.9358,40.824,5,-4.89,XLK
2015-05-21,2015-05-22,2015-06-01,MSFT,LONG,MEDIUM,60.41,0.34,15.0,1.0,bull,12.1,40.8581,40.6347,5,-9.37,XLK
2015-05-22,2015-05-26,2015-06-02,MSFT,LONG,MEDIUM,60.41,0.51,15.0,1.0,bull,12.1,40.4521,40.368,5,-3.79,XLK
2015-05-26,2015-05-27,2015-06-03,MSFT,LONG,MEDIUM,60.41,0.44,15.0,1.0,neutral,14.1,40.4434,40.3078,5,-5.84,XLK
2015-06-24,2015-06-25,2015-07-02,MSFT,LONG,MEDIUM,60.28,0.34,15.0,1.0,bull,13.3,39.761,38.1999,5,-64.52,XLK
2015-06-25,2015-06-26,2015-07-06,MSFT,LONG,MEDIUM,60.28,0.36,6.0,0.4,bear,14.0,39.4328,38.1913,5,-20.7,XLK
2015-06-30,2015-07-01,2015-07-09,MSFT,LONG,MEDIUM,61.86,0.51,6.0,0.4,bear,18.2,38.4049,38.3032,5,-1.88,XLK
2015-07-02,2015-07-06,2015-07-13,MSFT,LONG,MEDIUM,61.86,0.59,6.0,0.4,bear,16.8,37.9729,39.1807,5,20.44,XLK
2015-07-06,2015-07-07,2015-07-14,MSFT,LONG,MEDIUM,61.69,0.7,6.0,0.4,bear,17.0,38.3012,39.2495,5,15.88,XLK
2015-07-07,2015-07-08,2015-07-15,MSFT,LONG,MEDIUM,62.84,0.62,6.0,0.4,bear,16.1,38.3876,39.37,5,16.41,XLK
2015-07-08,2015-07-09,2015-07-16,MSFT,LONG,MEDIUM,62.53,0.7,6.0,0.4,bear,19.7,38.6554,40.1443,5,24.77,XLK
2015-07-09,2015-07-10,2015-07-17,MSFT,LONG,MEDIUM,62.53,0.85,6.0,0.4,bear,20.0,38.8799,40.1099,5,20.34,XLK
2015-07-10,2015-07-13,2015-07-20,MSFT,LONG,MEDIUM,62.84,0.88,6.0,0.4,bear,16.8,38.854,40.368,5,25.08,XLK
2015-07-13,2015-07-14,2015-07-21,MSFT,LONG,MEDIUM,61.2,0.7,15.0,1.0,neutral,13.9,39.26,40.6777,5,58.48,XLK
2015-07-24,2015-07-27,2015-08-03,MSFT,LONG,MEDIUM,62.34,0.53,6.0,0.4,bear,13.7,39.6833,40.2734,5,9.63,XLK
2015-07-27,2015-07-28,2015-08-04,MSFT,LONG,MEDIUM,62.34,0.67,6.0,0.4,bear,15.6,39.3723,40.9014,5,25.39,XLK
2015-07-28,2015-07-29,2015-08-05,MSFT,LONG,MEDIUM,60.7,0.63,15.0,1.0,neutral,13.4,39.2168,40.9359,5,71.67,XLK
2015-07-29,2015-07-30,2015-08-06,MSFT,LONG,MEDIUM,60.57,0.61,15.0,1.0,neutral,12.5,39.9597,40.1099,5,5.8,XLK
2015-07-30,2015-07-31,2015-08-07,MSFT,LONG,MEDIUM,60.7,0.52,15.0,1.0,neutral,12.1,40.8494,40.2131,5,-26.29,XLK
2015-07-31,2015-08-03,2015-08-10,MSFT,LONG,MEDIUM,60.7,0.48,15.0,1.0,neutral,12.1,40.5816,40.7208,5,5.27,XLK
2015-08-03,2015-08-04,2015-08-11,MSFT,LONG,MEDIUM,61.45,0.37,15.0,1.0,bull,12.6,40.383,39.9292,5,-19.01,XLK
2015-08-04,2015-08-05,2015-08-12,MSFT,LONG,MEDIUM,61.45,0.29,15.0,1.0,neutral,13.0,41.4455,40.2131,5,-50.25,XLK
2015-08-05,2015-08-06,2015-08-13,MSFT,LONG,MEDIUM,60.71,0.34,15.0,1.0,bull,12.5,41.2122,40.2045,5,-41.35,XLK
2015-08-06,2015-08-07,2015-08-14,MSFT,LONG,MEDIUM,60.71,0.5,15.0,1.0,neutral,13.8,40.072,40.4369,5,14.54,XLK
2015-08-20,2015-08-21,2015-08-28,MSFT,LONG,MEDIUM,61.31,0.14,6.0,0.4,bear,19.1,39.3885,38.0448,5,-22.63,XLK
2015-08-21,2015-08-24,2015-08-31,MSFT,LONG,MEDIUM,62.21,0.74,4.2,0.28,bear,28.0,35.1714,37.6897,5,32.77,XLK
2015-08-24,2015-08-25,2015-09-01,MSFT,LONG,MEDIUM,61.22,0.83,3.0,0.2,bear,40.7,37.0147,36.2175,5,-7.15,XLK
2015-08-25,2015-08-26,2015-09-02,MSFT,LONG,HIGH,61.22,1.06,3.75,0.2,bear,36.0,36.5278,37.5512,5,11.32,XLK
2015-08-31,2015-09-01,2015-09-09,MSFT,LONG,MEDIUM,62.93,0.39,4.2,0.28,bear,28.4,36.6669,37.3,5,7.85,XLK
2015-09-01,2015-09-02,2015-09-10,MSFT,LONG,MEDIUM,60.75,0.53,4.2,0.28,bear,31.4,36.8322,37.4905,5,8.11,XLK
2015-09-09,2015-09-10,2015-09-17,MSFT,LONG,MEDIUM,61.76,0.52,4.2,0.28,bear,26.2,37.493,38.3219,5,10.09,XLK
2015-09-10,2015-09-11,2015-09-18,MSFT,LONG,MEDIUM,61.76,0.71,6.0,0.4,bear,24.4,37.5104,37.6551,5,2.37,XLK
2015-09-11,2015-09-14,2015-09-21,MSFT,LONG,MEDIUM,61.76,0.59,6.0,0.4,bear,23.2,37.7625,38.2007,5,7.49,XLK
2015-09-14,2015-09-15,2015-09-22,MSFT,LONG,MEDIUM,61.59,0.63,6.0,0.4,bear,24.2,37.5538,38.0188,5,7.99,XLK
2015-09-18,2015-09-21,2015-09-28,MSFT,LONG,MEDIUM,60.81,0.61,15.0,1.0,neutral,22.3,37.9277,37.4905,5,-19.49,XLK
2015-09-30,2015-10-01,2015-10-08,MSFT,LONG,MEDIUM,62.73,0.79,6.0,0.4,bear,24.5,38.9103,41.0932,5,36.9,XLK
2015-10-01,2015-10-02,2015-10-09,MSFT,LONG,MEDIUM,62.73,0.75,6.0,0.4,bear,22.5,38.4929,40.7988,5,39.4,XLK
2015-10-02,2015-10-05,2015-10-12,MSFT,LONG,MEDIUM,61.73,0.69,15.0,1.0,neutral,20.9,39.7798,40.7035,5,38.05,XLK
2015-10-12,2015-10-13,2015-10-20,MSFT,LONG,MEDIUM,60.18,0.6,15.0,1.0,neutral,16.2,40.4841,41.3704,5,36.13,XLK
2015-10-14,2015-10-15,2015-10-22,MSFT,LONG,MEDIUM,62.61,0.65,15.0,1.0,neutral,18.0,40.8753,41.5955,5,29.0,XLK
2015-10-15,2015-10-16,2015-10-23,MSFT,LONG,MEDIUM,62.55,0.66,15.0,1.0,neutral,16.0,40.884,45.7871,5,199.93,XLK
2015-10-16,2015-10-19,2015-10-26,MSFT,LONG,MEDIUM,62.55,0.82,15.0,1.0,neutral,15.1,41.2318,46.9822,5,233.61,XLK
2015-10-21,2015-10-22,2015-10-29,MSFT,LONG,MEDIUM,61.02,0.91,15.0,1.0,neutral,16.7,41.3275,46.2115,5,197.4,XLK
2015-10-27,2015-10-28,2015-11-04,MSFT,LONG,MEDIUM,62.38,0.34,15.0,1.0,bull,15.4,46.5532,47.1121,5,20.94,XLK
2015-10-29,2015-10-30,2015-11-06,MSFT,LONG,MEDIUM,62.38,0.44,15.0,1.0,bull,14.6,46.3619,47.5625,5,45.51,XLK
2015-10-30,2015-11-02,2015-11-09,MSFT,LONG,MEDIUM,62.38,0.5,15.0,1.0,bull,15.1,45.9532,46.9043,5,36.14,XLK
2015-11-02,2015-11-03,2015-11-10,MSFT,LONG,MEDIUM,62.38,0.45,15.0,1.0,bull,14.1,46.0228,46.3414,5,11.88,XLK
2015-11-11,2015-11-12,2015-11-19,MSFT,LONG,MEDIUM,61.83,0.55,15.0,1.0,bull,16.1,46.501,47.0286,5,19.93,XLK
2015-11-12,2015-11-13,2015-11-20,MSFT,LONG,MEDIUM,61.33,0.6,15.0,1.0,neutral,18.4,46.1445,47.2466,5,42.35,XLK
2015-11-13,2015-11-16,2015-11-23,MSFT,LONG,MEDIUM,61.33,0.71,15.0,1.0,neutral,20.1,46.1532,47.2466,5,41.91,XLK
2015-11-16,2015-11-17,2015-11-24,MSFT,LONG,MEDIUM,60.41,0.58,15.0,1.0,neutral,18.2,46.5431,47.2989,5,28.8,XLK
2015-11-17,2015-11-18,2015-11-25,MSFT,LONG,MEDIUM,60.41,0.64,15.0,1.0,neutral,18.8,46.3943,46.8107,5,15.67,XLK
2015-12-09,2015-12-10,2015-12-17,MSFT,LONG,MEDIUM,61.53,0.5,15.0,1.0,neutral,19.6,48.4864,48.5631,5,2.49,XLK
2015-12-10,2015-12-11,2015-12-18,MSFT,LONG,MEDIUM,60.58,0.4,15.0,1.0,neutral,19.3,47.8911,47.1943,5,-26.74,XLK
2015-12-11,2015-12-14,2015-12-21,MSFT,LONG,MEDIUM,61.35,0.45,15.0,1.0,neutral,24.4,47.5585,47.8046,5,8.95,XLK
2015-12-14,2015-12-15,2015-12-22,MSFT,LONG,MEDIUM,60.35,0.45,15.0,1.0,neutral,22.7,48.7228,48.258,5,-17.7,XLK
2015-12-15,2015-12-16,2015-12-23,MSFT,LONG,MEDIUM,60.35,0.49,15.0,1.0,neutral,21.0,48.6177,48.6677,5,1.49,XLK
2015-12-16,2015-12-17,2015-12-24,MSFT,LONG,MEDIUM,62.27,0.41,15.0,1.0,bull,17.9,49.3355,48.537,5,-30.07,XLK
2015-12-17,2015-12-18,2015-12-28,MSFT,LONG,MEDIUM,60.35,0.55,15.0,1.0,neutral,18.9,48.819,48.7811,5,-1.79,XLK
2015-12-21,2015-12-22,2015-12-30,MSFT,LONG,MEDIUM,62.58,0.62,15.0,1.0,neutral,18.7,48.1363,49.095,5,35.26,XLK
2015-12-22,2015-12-23,2015-12-31,MSFT,LONG,MEDIUM,61.52,0.52,6.0,0.4,bear,16.6,48.7578,48.3713,5,-5.85,XLK
2015-12-23,2015-12-24,2016-01-04,MSFT,LONG,MEDIUM,60.77,0.35,15.0,1.0,neutral,15.6,48.8978,47.7784,5,-41.77,XLK
2016-01-04,2016-01-05,2016-01-12,MSFT,LONG,MEDIUM,60.76,0.12,6.0,0.4,bear,20.7,48.0837,46.0173,5,-31.12,XLK
2016-01-05,2016-01-06,2016-01-13,MSFT,LONG,MEDIUM,60.6,0.18,6.0,0.4,bear,19.3,47.5498,45.0233,5,-38.44,XLK
2016-01-06,2016-01-07,2016-01-14,MSFT,LONG,MEDIUM,60.6,0.36,6.0,0.4,bear,20.6,46.1317,46.305,5,2.55,XLK
2016-01-07,2016-01-08,2016-01-15,MSFT,LONG,MEDIUM,61.47,0.64,6.0,0.4,bear,25.0,45.8428,44.4566,5,-21.81,XLK
2016-01-08,2016-01-11,2016-01-19,MSFT,LONG,MEDIUM,60.05,0.53,4.2,0.28,bear,27.0,45.9653,44.0817,5,-20.66,XLK
2016-01-11,2016-01-12,2016-01-20,MSFT,LONG,MEDIUM,60.05,0.29,6.0,0.4,bear,24.3,46.1842,44.2823,5,-29.64,XLK
2016-01-15,2016-01-19,2016-01-26,MSFT,LONG,MEDIUM,63.81,0.6,4.2,0.28,bear,27.0,45.0637,45.4854,5,4.56,XLK
2016-01-19,2016-01-20,2016-01-27,MSFT,LONG,MEDIUM,63.81,0.99,4.2,0.28,bear,26.0,43.7507,44.6572,5,10.21,XLK
2016-01-20,2016-01-21,2016-01-28,MSFT,LONG,MEDIUM,63.81,0.99,4.2,0.28,bear,27.6,44.6436,45.3895,5,8.22,XLK
2016-01-21,2016-01-22,2016-01-29,MSFT,LONG,HIGH,63.81,1.2,5.25,0.28,bear,26.7,45.0024,48.0313,5,41.77,XLK
2016-01-25,2016-01-26,2016-02-02,MSFT,LONG,MEDIUM,62.6,0.97,6.0,0.4,bear,24.1,45.3351,46.2091,5,13.61,XLK
2016-01-26,2016-01-27,2016-02-03,MSFT,LONG,MEDIUM,60.43,0.6,6.0,0.4,bear,22.5,45.5277,45.4767,5,-0.96,XLK
2016-02-04,2016-02-05,2016-02-12,MSFT,LONG,MEDIUM,60.28,0.35,15.0,1.0,neutral,21.8,45.4664,44.0294,5,-57.05,XLK
2016-02-05,2016-02-08,2016-02-16,MSFT,LONG,MEDIUM,60.86,0.62,6.0,0.4,bear,23.4,43.3743,44.8636,5,24.32,XLK
2016-02-08,2016-02-09,2016-02-17,MSFT,LONG,MEDIUM,63.28,0.98,4.2,0.28,bear,26.0,42.9103,46.0315,5,36.1,XLK
2016-02-09,2016-02-10,2016-02-18,MSFT,LONG,HIGH,63.28,1.05,5.25,0.28,bear,26.5,43.6719,45.8296,5,30.6,XLK
2016-02-10,2016-02-11,2016-02-19,MSFT,LONG,HIGH,63.88,1.08,5.25,0.28,bear,26.3,42.6127,45.5047,5,42.15,XLK
2016-02-11,2016-02-12,2016-02-22,MSFT,LONG,HIGH,61.29,1.12,5.25,0.28,bear,28.1,43.987,46.2335,5,31.72,XLK
2016-02-23,2016-02-24,2016-03-02,MSFT,LONG,MEDIUM,60.43,0.64,15.0,1.0,neutral,21.0,44.6908,46.4969,5,72.69,XLK
2016-02-24,2016-02-25,2016-03-03,MSFT,LONG,MEDIUM,60.43,0.56,15.0,1.0,neutral,20.7,45.6077,45.9701,5,14.0,XLK
2016-02-25,2016-02-26,2016-03-04,MSFT,LONG,MEDIUM,60.43,0.48,15.0,1.0,neutral,19.1,46.3747,45.6891,5,-27.26,XLK
2016-02-26,2016-02-29,2016-03-07,MSFT,LONG,MEDIUM,61.76,0.66,15.0,1.0,neutral,19.8,45.2727,44.8109,5,-18.77,XLK
2016-02-29,2016-03-01,2016-03-08,MSFT,LONG,MEDIUM,61.76,0.61,15.0,1.0,neutral,20.5,44.9376,45.3554,5,16.26,XLK
2016-03-03,2016-03-04,2016-03-11,MSFT,LONG,MEDIUM,61.93,0.5,15.0,1.0,neutral,16.7,46.1984,46.6023,5,15.61,XLK
2016-03-04,2016-03-07,2016-03-14,MSFT,LONG,MEDIUM,64.51,0.55,15.0,1.0,neutral,16.9,45.4578,46.6901,5,49.02,XLK
2016-03-07,2016-03-08,2016-03-15,MSFT,LONG,MEDIUM,62.45,0.77,15.0,1.0,neutral,17.4,44.7878,47.059,5,91.04,XLK
2016-03-08,2016-03-09,2016-03-16,MSFT,LONG,MEDIUM,62.05,0.75,15.0,1.0,neutral,18.7,45.7488,47.7263,5,78.12,XLK
2016-03-09,2016-03-10,2016-03-17,MSFT,LONG,MEDIUM,63.69,0.7,15.0,1.0,bull,18.3,46.6657,47.9985,5,52.15,XLK
2016-03-10,2016-03-11,2016-03-18,MSFT,LONG,MEDIUM,62.05,0.8,15.0,1.0,bull,18.0,46.7274,46.9711,5,9.09,XLK
2016-03-11,2016-03-14,2016-03-21,MSFT,LONG,MEDIUM,62.16,0.63,15.0,1.0,bull,16.5,46.4717,47.296,5,32.31,XLK
2016-03-14,2016-03-15,2016-03-22,MSFT,LONG,MEDIUM,63.33,0.57,15.0,1.0,bull,16.9,46.507,47.4804,5,38.28,XLK
2016-03-15,2016-03-16,2016-03-23,MSFT,LONG,MEDIUM,60.49,0.46,15.0,1.0,bull,16.8,47.1241,47.3926,5,10.21,XLK
2016-03-16,2016-03-17,2016-03-24,MSFT,LONG,MEDIUM,60.49,0.52,15.0,1.0,bull,15.0,47.7942,47.6034,5,-7.92,XLK
2016-04-08,2016-04-11,2016-04-18,MSFT,LONG,MEDIUM,62.56,0.67,15.0,1.0,bull,15.4,48.041,49.5792,5,59.56,XLK
2016-04-11,2016-04-12,2016-04-19,MSFT,LONG,MEDIUM,61.3,0.77,15.0,1.0,neutral,16.3,47.9352,49.5177,5,61.37,XLK
2016-04-12,2016-04-13,2016-04-20,MSFT,LONG,MEDIUM,60.42,0.72,15.0,1.0,bull,14.9,48.5965,48.8152,5,8.05,XLK
2016-04-13,2016-04-14,2016-04-21,MSFT,LONG,MEDIUM,60.42,0.49,15.0,1.0,bull,13.8,48.6846,48.9821,5,11.11,XLK
2016-04-14,2016-04-15,2016-04-22,MSFT,LONG,MEDIUM,61.21,0.5,15.0,1.0,bull,13.7,48.7552,45.4695,5,-127.18,XLK
2016-04-15,2016-04-18,2016-04-25,MSFT,LONG,MEDIUM,61.67,0.31,15.0,1.0,bull,13.6,48.9227,45.7593,5,-122.51,XLK
2016-04-18,2016-04-19,2016-04-26,MSFT,LONG,MEDIUM,61.97,0.09,15.0,1.0,bull,13.4,49.9278,45.171,5,-182.65,XLK
2016-04-25,2016-04-26,2016-05-03,MSFT,LONG,MEDIUM,61.16,0.34,15.0,1.0,bull,14.1,46.075,43.7133,5,-94.32,XLK
2016-04-26,2016-04-27,2016-05-04,MSFT,LONG,MEDIUM,61.16,0.2,15.0,1.0,bull,14.0,45.3873,43.7923,5,-64.49,XLK
2016-05-09,2016-05-10,2016-05-17,MSFT,LONG,MEDIUM,60.5,0.78,15.0,1.0,neutral,14.6,44.3734,44.6645,5,11.43,XLK
2016-05-17,2016-05-18,2016-05-25,MSFT,LONG,MEDIUM,61.5,0.6,15.0,1.0,neutral,15.6,44.8169,46.0882,5,50.84,XLK
2016-05-18,2016-05-19,2016-05-26,MSFT,LONG,MEDIUM,60.05,0.61,15.0,1.0,neutral,15.9,44.808,45.8848,5,43.04,XLK
2016-05-19,2016-05-20,2016-05-27,MSFT,LONG,MEDIUM,60.05,0.68,15.0,1.0,neutral,16.3,44.8169,46.2651,5,57.88,XLK
2016-05-20,2016-05-23,2016-05-31,MSFT,LONG,MEDIUM,60.05,0.8,15.0,1.0,neutral,15.2,44.9235,46.8664,5,77.75,XLK
2016-05-23,2016-05-24,2016-06-01,MSFT,LONG,MEDIUM,60.05,0.57,15.0,1.0,neutral,15.8,45.0122,46.7337,5,68.21,XLK
2016-05-25,2016-05-26,2016-06-03,MSFT,LONG,MEDIUM,60.05,0.4,15.0,1.0,bull,13.9,46.1043,45.7964,5,-12.72,XLK
2016-06-13,2016-06-14,2016-06-21,MSFT,LONG,MEDIUM,60.63,0.58,15.0,1.0,neutral,21.0,44.302,45.2658,5,39.81,XLK
2016-06-14,2016-06-15,2016-06-22,MSFT,LONG,MEDIUM,60.63,0.76,15.0,1.0,neutral,20.5,44.1955,45.089,5,36.95,XLK
2016-06-24,2016-06-27,2016-07-05,MSFT,LONG,MEDIUM,61.21,0.68,10.5,0.7,neutral,25.8,43.5917,45.2482,5,49.19,XLK
2016-06-27,2016-06-28,2016-07-06,MSFT,LONG,MEDIUM,61.7,0.9,15.0,1.0,neutral,23.9,43.4319,45.4339,5,85.19,XLK
2016-06-28,2016-06-29,2016-07-07,MSFT,LONG,MEDIUM,60.55,0.91,15.0,1.0,neutral,18.8,44.3109,45.4339,5,46.82,XLK
2016-06-29,2016-06-30,2016-07-08,MSFT,LONG,MEDIUM,60.55,0.62,15.0,1.0,neutral,16.6,45.03,46.2474,5,50.34,XLK
2016-07-05,2016-07-06,2016-07-13,MSFT,LONG,MEDIUM,61.03,0.96,15.0,1.0,bull,15.6,45.0833,47.3174,5,93.17,XLK
2016-07-06,2016-07-07,2016-07-14,MSFT,LONG,MEDIUM,63.16,0.96,15.0,1.0,bull,15.0,45.6515,47.5207,5,77.15,XLK
2016-07-08,2016-07-11,2016-07-18,MSFT,LONG,MEDIUM,61.62,0.63,15.0,1.0,bull,13.2,46.6103,47.7153,5,44.81,XLK
2016-07-11,2016-07-12,2016-07-19,MSFT,LONG,MEDIUM,60.88,0.47,15.0,1.0,bull,13.5,47.0009,46.946,5,-2.64,XLK
2016-07-13,2016-07-14,2016-07-21,MSFT,LONG,MEDIUM,62.54,0.58,15.0,1.0,bull,13.0,47.8,49.3423,5,61.8,XLK
2016-07-14,2016-07-15,2016-07-22,MSFT,LONG,MEDIUM,60.34,0.58,15.0,1.0,bull,12.8,47.8977,50.0232,5,85.23,XLK
2016-07-15,2016-07-18,2016-07-25,MSFT,LONG,MEDIUM,60.2,0.68,15.0,1.0,bull,12.7,47.6757,50.1647,5,100.2,XLK
2016-07-18,2016-07-19,2016-07-26,MSFT,LONG,MEDIUM,60.2,0.81,15.0,1.0,bull,12.4,47.6846,50.1912,5,101.2,XLK
2016-08-02,2016-08-03,2016-08-10,MSFT,LONG,MEDIUM,60.8,0.61,15.0,1.0,bull,13.4,50.3214,51.3054,5,38.32,XLK
2016-08-03,2016-08-04,2016-08-11,MSFT,LONG,MEDIUM,60.54,0.57,15.0,1.0,bull,12.9,50.4279,51.553,5,43.79,XLK
2016-08-17,2016-08-18,2016-08-25,MSFT,LONG,MEDIUM,63.06,0.43,15.0,1.0,bull,12.2,51.2961,51.7587,5,17.57,XLK
2016-08-18,2016-08-19,2016-08-26,MSFT,LONG,MEDIUM,63.06,0.4,15.0,1.0,bull,11.4,51.305,51.6341,5,12.39,XLK
2016-09-13,2016-09-14,2016-09-21,MSFT,LONG,MEDIUM,60.53,0.56,15.0,1.0,neutral,17.9,50.3759,51.3938,5,39.94,XLK
2016-09-14,2016-09-15,2016-09-22,MSFT,LONG,MEDIUM,60.53,0.64,15.0,1.0,neutral,18.1,50.1616,51.4472,5,50.74,XLK
2016-09-29,2016-09-30,2016-10-07,MSFT,LONG,MEDIUM,60.9,0.51,6.0,0.4,bear,14.0,51.4301,51.4294,5,-0.17,XLK
2016-10-11,2016-10-12,2016-10-19,MSFT,LONG,MEDIUM,60.59,0.4,6.0,0.4,bear,15.4,51.0192,51.1892,5,2.52,XLK
2016-10-12,2016-10-13,2016-10-20,MSFT,LONG,MEDIUM,63.39,0.53,6.0,0.4,bear,15.9,50.6529,50.9401,5,4.4,XLK
2016-10-13,2016-10-14,2016-10-21,MSFT,LONG,MEDIUM,64.95,0.56,6.0,0.4,bear,16.7,51.0281,53.0844,5,32.23,XLK
2016-10-14,2016-10-17,2016-10-24,MSFT,LONG,MEDIUM,64.95,0.97,6.0,0.4,bear,16.1,51.2425,54.2767,5,47.5,XLK
2016-10-17,2016-10-18,2016-10-25,MSFT,LONG,HIGH,64.73,1.08,7.5,0.4,bear,16.2,51.3944,54.2678,5,56.0,XLK
2016-10-18,2016-10-19,2016-10-26,MSFT,LONG,HIGH,62.33,1.14,7.5,0.4,bear,15.3,51.3408,53.9475,5,50.93,XLK
2016-10-19,2016-10-20,2016-10-27,MSFT,LONG,HIGH,61.47,1.09,7.5,0.4,bear,14.4,51.3676,53.4759,5,41.1,XLK
2016-10-21,2016-10-24,2016-10-31,MSFT,LONG,MEDIUM,60.69,0.36,6.0,0.4,bear,13.3,53.5473,53.3158,5,-3.67,XLK
2016-11-04,2016-11-07,2016-11-14,MSFT,LONG,MEDIUM,63.93,0.43,6.0,0.4,bear,22.5,53.4044,51.7142,5,-26.04,XLK
