ticker,effective_from,effective_to,status,source,source_url,retrieved_at,license,access_cost,addition_evidence_ids,deletion_evidence_ids,identity_evidence_urls,addition_boundary_supported,deletion_boundary_supported,interval_verified,security_history_verified,next_action
ADI,1999-10-12,2026-08-18,active_at_source_cutoff,community historical reconstruction; pending independent verification,https://github.com/fja05680/sp500,2026-09-08T06:18:58.688469+00:00,repository MIT; underlying baseline provenance requires review,free,,,,False,False,False,False,"Verify baseline/entry, all intervening changes, exit/cutoff and security identity with primary evidence."
ADM,1996-01-02,2026-08-18,active_at_source_cutoff,community historical reconstruction; pending independent verification,https://github.com/fja05680/sp500,2026-09-08T06:18:58.688469+00:00,repository MIT; underlying baseline provenance requires review,free,,,,False,False,False,False,"Verify baseline/entry, all intervening changes, exit/cutoff and security identity with primary evidence."
ADP,1996-01-02,2026-08-18,active_at_source_cutoff,community historical reconstruction; pending independent verification,https://github.com/fja05680/sp500,2026-09-08T06:18:58.688469+00:00,repository MIT; underlying baseline provenance requires review,free,,,,False,False,False,False,"Verify baseline/entry, all intervening changes, exit/cutoff and security identity with primary evidence."
ADS,2013-12-23,2020-06-21,removed,community historical reconstruction; pending independent verification,https://github.com/fja05680/sp500,2026-09-08T06:18:58.688469+00:00,repository MIT; underlying baseline provenance requires review,free,,,,False,False,False,False,"Verify baseline/entry, all intervening changes, exit/cutoff and security identity with primary evidence."
ADSK,1996-01-02,2026-08-18,active_at_source_cutoff,community historical reconstruction; pending independent verification,https://github.com/fja05680/sp500,2026-09-08T06:18:58.688469+00:00,repository MIT; underlying baseline provenance requires review,free,,,,False,False,False,False,"Verify baseline/entry, all intervening changes, exit/cutoff and security identity with primary evidence."
ADT,2012-10-02,2016-05-01,removed,community historical reconstruction; pending independent verification,https://github.com/fja05680/sp500,2026-09-08T06:18:58.688469+00:00,repository MIT; underlying baseline provenance requires review,free,,,,False,False,False,False,"Verify baseline/entry, all intervening changes, exit/cutoff and security identity with primary evidence."
AEE,1996-01-02,2026-08-18,active_at_source_cutoff,community historical reconstruction; pending independent verification,https://github.com/fja05680/sp500,2026-09-08T06:18:58.688469+00:00,repository MIT; underlying baseline provenance requires review,free,,,,False,False,False,False,"Verify baseline/entry, all intervening changes, exit/cutoff and security identity with primary evidence."
AEP,1996-01-02,2026-08-18,active_at_source_cutoff,community historical reconstruction; pending independent verification,https://github.com/fja05680/sp500,2026-09-08T06:18:58.688469+00:00,repository MIT; underlying baseline provenance requires review,free,,,,False,False,False,False,"Verify baseline/entry, all intervening changes, exit/cutoff and security identity with primary evidence."
AES,1998-10-02,2026-08-18,active_at_source_cutoff,community historical reconstruction; pending independent verification,https://github.com/fja05680/sp500,2026-09-08T06:18:58.688469+00:00,repository MIT; underlying baseline provenance requires review,free,,,,False,False,False,False,"Verify baseline/entry, all intervening changes, exit/cutoff and security identity with primary evidence."
AET,1996-01-02,2018-11-28,removed,community historical reconstruction; pending independent verification,https://github.com/fja05680/sp500,2026-09-08T06:18:58.688469+00:00,repository MIT; underlying baseline provenance requires review,free,,,,False,False,False,False,"Verify baseline/entry, all intervening changes, exit/cutoff and security identity with primary evidence."
AFL,1999-05-28,2026-08-18,active_at_source_cutoff,community historical reconstruction; pending independent verification,https://github.com/fja05680/sp500,2026-09-08T06:18:58.688469+00:00,repository MIT; underlying baseline provenance requires review,free,,,,False,False,False,False,"Verify baseline/entry, all intervening changes, exit/cutoff and security identity with primary evidence."
AGN,1996-01-02,2020-05-11,removed,community historical reconstruction; pending independent verification,https://github.com/fja05680/sp500,2026-09-08T06:18:58.688469+00:00,repository MIT; underlying baseline provenance requires review,free,,,,False,False,False,False,"Verify baseline/entry, all intervening changes, exit/cutoff and security identity with primary evidence."
AIG,1996-01-02,2026-08-18,active_at_source_cutoff,community historical reconstruction; pending independent verification,https://github.com/fja05680/sp500,2026-09-08T06:18:58.688469+00:00,repository MIT; underlying baseline provenance requires review,free,,,,False,False,False,False,"Verify baseline/entry, all intervening changes, exit/cutoff and security identity with primary evidence."
AIV,2003-03-14,2020-12-20,removed,community historical reconstruction; pending independent verification,https://github.com/fja05680/sp500,2026-09-08T06:18:58.688469+00:00,repository MIT; underlying baseline provenance requires review,free,,,,False,False,False,False,"Verify baseline/entry, all intervening changes, exit/cutoff and security identity with primary evidence."
AIZ,2007-04-10,2026-08-18,active_at_source_cutoff,community historical reconstruction; pending independent verification,https://github.com/fja05680/sp500,2026-09-08T06:18:58.688469+00:00,repository MIT; underlying baseline provenance requires review,free,,,,False,False,False,False,"Verify baseline/entry, all intervening changes, exit/cutoff and security identity with primary evidence."
AJG,2016-05-31,2026-08-18,active_at_source_cutoff,community historical reconstruction; pending independent verification,https://github.com/fja05680/sp500,2026-09-08T06:18:58.688469+00:00,repository MIT; underlying baseline provenance requires review,free,,,,False,False,False,False,"Verify baseline/entry, all intervening changes, exit/cutoff and security identity with primary evidence."
AKAM,2007-07-12,2026-08-18,active_at_source_cutoff,community historical reconstruction; pending independent verification,https://github.com/fja05680/sp500,2026-09-08T06:18:58.688469+00:00,repository MIT; underlying baseline provenance requires review,free,,,,False,False,False,False,"Verify baseline/entry, all intervening changes, exit/cutoff and security identity with primary evidence."
ALB,2016-07-01,2026-08-18,active_at_source_cutoff,community historical reconstruction; pending independent verification,https://github.com/fja05680/sp500,2026-09-08T06:18:58.688469+00:00,repository MIT; underlying baseline provenance requires review,free,,,,False,False,False,False,"Verify baseline/entry, all intervening changes, exit/cutoff and security identity with primary evidence."
ALGN,2017-06-19,2026-08-18,active_at_source_cutoff,community historical reconstruction; pending independent verification,https://github.com/fja05680/sp500,2026-09-08T06:18:58.688469+00:00,repository MIT; underlying baseline provenance requires review,free,,,,False,False,False,False,"Verify baseline/entry, all intervening changes, exit/cutoff and security identity with primary evidence."
ALK,2016-05-13,2023-12-17,removed,community historical reconstruction; pending independent verification,https://github.com/fja05680/sp500,2026-09-08T06:18:58.688469+00:00,repository MIT; underlying baseline provenance requires review,free,,,,False,False,False,False,"Verify baseline/entry, all intervening changes, exit/cutoff and security identity with primary evidence."
ALL,1996-01-02,2026-08-18,active_at_source_cutoff,community historical reconstruction; pending independent verification,https://github.com/fja05680/sp500,2026-09-08T06:18:58.688469+00:00,repository MIT; underlying baseline provenance requires review,free,,,,False,False,False,False,"Verify baseline/entry, all intervening changes, exit/cutoff and security identity with primary evidence."
ALLE,2013-12-02,2026-08-18,active_at_source_cutoff,community historical reconstruction; pending independent verification,https://github.com/fja05680/sp500,2026-09-08T06:18:58.688469+00:00,repository MIT; underlying baseline provenance requires review,free,,,,False,False,False,False,"Verify baseline/entry, all intervening changes, exit/cutoff and security identity with primary evidence."
ALTR,2000-04-18,2015-12-27,removed,community historical reconstruction; pending independent verification,https://github.com/fja05680/sp500,2026-09-08T06:18:58.688469+00:00,repository MIT; underlying baseline provenance requires review,free,,,,False,False,False,False,"Verify baseline/entry, all intervening changes, exit/cutoff and security identity with primary evidence."
ALXN,2012-05-25,2021-07-20,removed,community historical reconstruction; pending independent verification,https://github.com/fja05680/sp500,2026-09-08T06:18:58.688469+00:00,repository MIT; underlying baseline provenance requires review,free,,,,False,False,False,False,"Verify baseline/entry, all intervening changes, exit/cutoff and security identity with primary evidence."
AMAT,1996-01-02,2026-08-18,active_at_source_cutoff,community historical reconstruction; pending independent verification,https://github.com/fja05680/sp500,2026-09-08T06:18:58.688469+00:00,repository MIT; underlying baseline provenance requires review,free,,,,False,False,False,False,"Verify baseline/entry, all intervening changes, exit/cutoff and security identity with primary evidence."
AMCR,2019-06-07,2026-08-18,active_at_source_cutoff,community historical reconstruction; pending independent verification,https://github.com/fja05680/sp500,2026-09-08T06:18:58.688469+00:00,repository MIT; underlying baseline provenance requires review,free,,,,False,False,False,False,"Verify baseline/entry, all intervening changes, exit/cutoff and security identity with primary evidence."
AMD,1996-01-02,2013-09-22,removed,community historical reconstruction; pending independent verification,https://github.com/fja05680/sp500,2026-09-08T06:18:58.688469+00:00,repository MIT; underlying baseline provenance requires review,free,,,,False,False,False,False,"Verify baseline/entry, all intervening changes, exit/cutoff and security identity with primary evidence."
AMD,2017-03-20,2026-08-18,active_at_source_cutoff,community historical reconstruction; pending independent verification,https://github.com/fja05680/sp500,2026-09-08T06:18:58.688469+00:00,repository MIT; underlying baseline provenance requires review,free,,,,False,False,False,False,"Verify baseline/entry, all intervening changes, exit/cutoff and security identity with primary evidence."
AME,2013-09-23,2026-08-18,active_at_source_cutoff,community historical reconstruction; pending independent verification,https://github.com/fja05680/sp500,2026-09-08T06:18:58.688469+00:00,repository MIT; underlying baseline provenance requires review,free,,,,False,False,False,False,"Verify baseline/entry, all intervening changes, exit/cutoff and security identity with primary evidence."
AMG,2014-07-01,2019-12-22,removed,community historical reconstruction; pending independent verification,https://github.com/fja05680/sp500,2026-09-08T06:18:58.688469+00:00,repository MIT; underlying baseline provenance requires review,free,,,,False,False,False,False,"Verify baseline/entry, all intervening changes, exit/cutoff and security identity with primary evidence."
AMGN,1996-01-02,2026-08-18,active_at_source_cutoff,community historical reconstruction; pending independent verification,https://github.com/fja05680/sp500,2026-09-08T06:18:58.688469+00:00,repository MIT; underlying baseline provenance requires review,free,,,,False,False,False,False,"Verify baseline/entry, all intervening changes, exit/cutoff and security identity with primary evidence."
AMP,2005-10-03,2026-08-18,active_at_source_cutoff,community historical reconstruction; pending independent verification,https://github.com/fja05680/sp500,2026-09-08T06:18:58.688469+00:00,repository MIT; underlying baseline provenance requires review,free,,,,False,False,False,False,"Verify baseline/entry, all intervening changes, exit/cutoff and security identity with primary evidence."
AMT,2007-11-19,2026-08-18,active_at_source_cutoff,community historical reconstruction; pending independent verification,https://github.com/fja05680/sp500,2026-09-08T06:18:58.688469+00:00,repository MIT; underlying baseline provenance requires review,free,,,,False,False,False,False,"Verify baseline/entry, all intervening changes, exit/cutoff and security identity with primary evidence."
AMTM,2024-09-30,2024-12-22,removed,community historical reconstruction; pending independent verification,https://github.com/fja05680/sp500,2026-09-08T06:18:58.688469+00:00,repository MIT; underlying baseline provenance requires review,free,,,,False,False,False,False,"Verify baseline/entry, all intervening changes, exit/cutoff and security identity with primary evidence."
AMZN,2005-11-21,2026-08-18,active_at_source_cutoff,community historical reconstruction; pending independent verification,https://github.com/fja05680/sp500,2026-09-08T06:18:58.688469+00:00,repository MIT; underlying baseline provenance requires review,free,,,,False,False,False,False,"Verify baseline/entry, all intervening changes, exit/cutoff and security identity with primary evidence."
AN,2003-02-24,2017-08-07,removed,community historical reconstruction; pending independent verification,https://github.com/fja05680/sp500,2026-09-08T06:18:58.688469+00:00,repository MIT; underlying baseline provenance requires review,free,,,,False,False,False,False,"Verify baseline/entry, all intervening changes, exit/cutoff and security identity with primary evidence."
ANDV,2007-09-27,2018-09-30,removed,community historical reconstruction; pending independent verification,https://github.com/fja05680/sp500,2026-09-08T06:18:58.688469+00:00,repository MIT; underlying baseline provenance requires review,free,,,,False,False,False,False,"Verify baseline/entry, all intervening changes, exit/cutoff and security identity with primary evidence."
ANET,2018-08-28,2026-08-18,active_at_source_cutoff,community historical reconstruction; pending independent verification,https://github.com/fja05680/sp500,2026-09-08T06:18:58.688469+00:00,repository MIT; underlying baseline provenance requires review,free,,,,False,False,False,False,"Verify baseline/entry, all intervening changes, exit/cutoff and security identity with primary evidence."
ANF,2007-03-29,2013-12-22,removed,community historical reconstruction; pending independent verification,https://github.com/fja05680/sp500,2026-09-08T06:18:58.688469+00:00,repository MIT; underlying baseline provenance requires review,free,,,,False,False,False,False,"Verify baseline/entry, all intervening changes, exit/cutoff and security identity with primary evidence."
ANRZQ,2011-06-02,2012-10-01,removed,community historical reconstruction; pending independent verification,https://github.com/fja05680/sp500,2026-09-08T06:18:58.688469+00:00,repository MIT; underlying baseline provenance requires review,free,,,,False,False,False,False,"Verify baseline/entry, all intervening changes, exit/cutoff and security identity with primary evidence."
ANSS,2017-06-19,2025-07-17,removed,community historical reconstruction; pending independent verification,https://github.com/fja05680/sp500,2026-09-08T06:18:58.688469+00:00,repository MIT; underlying baseline provenance requires review,free,,,,False,False,False,False,"Verify baseline/entry, all intervening changes, exit/cutoff and security identity with primary evidence."
ANTM,2002-07-25,2022-06-27,removed,community historical reconstruction; pending independent verification,https://github.com/fja05680/sp500,2026-09-08T06:18:58.688469+00:00,repository MIT; underlying baseline provenance requires review,free,,,,False,False,False,False,"Verify baseline/entry, all intervening changes, exit/cutoff and security identity with primary evidence."
AON,1996-04-23,2026-08-18,active_at_source_cutoff,community historical reconstruction; pending independent verification,https://github.com/fja05680/sp500,2026-09-08T06:18:58.688469+00:00,repository MIT; underlying baseline provenance requires review,free,,,,False,False,False,False,"Verify baseline/entry, all intervening changes, exit/cutoff and security identity with primary evidence."
AOS,2017-07-26,2026-08-18,active_at_source_cutoff,community historical reconstruction; pending independent verification,https://github.com/fja05680/sp500,2026-09-08T06:18:58.688469+00:00,repository MIT; underlying baseline provenance requires review,free,2017-07-26-AOS-addition,,,True,False,False,False,"Verify baseline/entry, all intervening changes, exit/cutoff and security identity with primary evidence."
APA,1997-07-28,2026-08-18,active_at_source_cutoff,community historical reconstruction; pending independent verification,https://github.com/fja05680/sp500,2026-09-08T06:18:58.688469+00:00,repository MIT; underlying baseline provenance requires review,free,,,,False,False,False,False,"Verify baseline/entry, all intervening changes, exit/cutoff and security identity with primary evidence."
APC,1997-07-28,2019-08-08,removed,community historical reconstruction; pending independent verification,https://github.com/fja05680/sp500,2026-09-08T06:18:58.688469+00:00,repository MIT; underlying baseline provenance requires review,free,,,,False,False,False,False,"Verify baseline/entry, all intervening changes, exit/cutoff and security identity with primary evidence."
APD,1996-01-02,2026-08-18,active_at_source_cutoff,community historical reconstruction; pending independent verification,https://github.com/fja05680/sp500,2026-09-08T06:18:58.688469+00:00,repository MIT; underlying baseline provenance requires review,free,,,,False,False,False,False,"Verify baseline/entry, all intervening changes, exit/cutoff and security identity with primary evidence."
APH,2008-09-30,2026-08-18,active_at_source_cutoff,community historical reconstruction; pending independent verification,https://github.com/fja05680/sp500,2026-09-08T06:18:58.688469+00:00,repository MIT; underlying baseline provenance requires review,free,,,,False,False,False,False,"Verify baseline/entry, all intervening changes, exit/cutoff and security identity with primary evidence."
APO,2024-12-23,2026-08-18,active_at_source_cutoff,community historical reconstruction; pending independent verification,https://github.com/fja05680/sp500,2026-09-08T06:18:58.688469+00:00,repository MIT; underlying baseline provenance requires review,free,,,,False,False,False,False,"Verify baseline/entry, all intervening changes, exit/cutoff and security identity with primary evidence."
APOL,2002-05-15,2013-06-30,removed,community historical reconstruction; pending independent verification,https://github.com/fja05680/sp500,2026-09-08T06:18:58.688469+00:00,repository MIT; underlying baseline provenance requires review,free,,,,False,False,False,False,"Verify baseline/entry, all intervening changes, exit/cutoff and security identity with primary evidence."
APP,2025-09-22,2026-08-18,active_at_source_cutoff,community historical reconstruction; pending independent verification,https://github.com/fja05680/sp500,2026-09-08T06:18:58.688469+00:00,repository MIT; underlying baseline provenance requires review,free,,,,False,False,False,False,"Verify baseline/entry, all intervening changes, exit/cutoff and security identity with primary evidence."
APTV,2012-12-24,2026-08-18,active_at_source_cutoff,community historical reconstruction; pending independent verification,https://github.com/fja05680/sp500,2026-09-08T06:18:58.688469+00:00,repository MIT; underlying baseline provenance requires review,free,,,,False,False,False,False,"Verify baseline/entry, all intervening changes, exit/cutoff and security identity with primary evidence."
ARE,2017-03-20,2026-08-18,active_at_source_cutoff,community historical reconstruction; pending independent verification,https://github.com/fja05680/sp500,2026-09-08T06:18:58.688469+00:00,repository MIT; underlying baseline provenance requires review,free,,,,False,False,False,False,"Verify baseline/entry, all intervening changes, exit/cutoff and security identity with primary evidence."
ARES,2025-12-11,2026-08-18,active_at_source_cutoff,community historical reconstruction; pending independent verification,https://github.com/fja05680/sp500,2026-09-08T06:18:58.688469+00:00,repository MIT; underlying baseline provenance requires review,free,,,,False,False,False,False,"Verify baseline/entry, all intervening changes, exit/cutoff and security identity with primary evidence."
ARG,2009-09-09,2016-05-22,removed,community historical reconstruction; pending independent verification,https://github.com/fja05680/sp500,2026-09-08T06:18:58.688469+00:00,repository MIT; underlying baseline provenance requires review,free,,,,False,False,False,False,"Verify baseline/entry, all intervening changes, exit/cutoff and security identity with primary evidence."
ARNC,1996-01-02,2020-04-05,removed,community historical reconstruction; pending independent verification,https://github.com/fja05680/sp500,2026-09-08T06:18:58.688469+00:00,repository MIT; underlying baseline provenance requires review,free,,,,False,False,False,False,"Verify baseline/entry, all intervening changes, exit/cutoff and security identity with primary evidence."
ATGE,2009-06-09,2012-09-30,removed,community historical reconstruction; pending independent verification,https://github.com/fja05680/sp500,2026-09-08T06:18:58.688469+00:00,repository MIT; underlying baseline provenance requires review,free,,,,False,False,False,False,"Verify baseline/entry, all intervening changes, exit/cutoff and security identity with primary evidence."
ATI,1996-01-02,2015-07-01,removed,community historical reconstruction; pending independent verification,https://github.com/fja05680/sp500,2026-09-08T06:18:58.688469+00:00,repository MIT; underlying baseline provenance requires review,free,,,,False,False,False,False,"Verify baseline/entry, all intervening changes, exit/cutoff and security identity with primary evidence."
ATO,2019-02-15,2026-08-18,active_at_source_cutoff,community historical reconstruction; pending independent verification,https://github.com/fja05680/sp500,2026-09-08T06:18:58.688469+00:00,repository MIT; underlying baseline provenance requires review,free,,,,False,False,False,False,"Verify baseline/entry, all intervening changes, exit/cutoff and security identity with primary evidence."
ATVI,2015-08-31,2023-10-17,removed,community historical reconstruction; pending independent verification,https://github.com/fja05680/sp500,2026-09-08T06:18:58.688469+00:00,repository MIT; underlying baseline provenance requires review,free,,,,False,False,False,False,"Verify baseline/entry, all intervening changes, exit/cutoff and security identity with primary evidence."
AVB,2007-01-10,2026-08-17,removed,community historical reconstruction; pending independent verification,https://github.com/fja05680/sp500,2026-09-08T06:18:58.688469+00:00,repository MIT; underlying baseline provenance requires review,free,,,,False,False,False,False,"Verify baseline/entry, all intervening changes, exit/cutoff and security identity with primary evidence."
AVGO,2014-05-08,2026-08-18,active_at_source_cutoff,community historical reconstruction; pending independent verification,https://github.com/fja05680/sp500,2026-09-08T06:18:58.688469+00:00,repository MIT; underlying baseline provenance requires review,free,,,,False,False,False,False,"Verify baseline/entry, all intervening changes, exit/cutoff and security identity with primary evidence."
AVP,1996-01-02,2015-03-22,removed,community historical reconstruction; pending independent verification,https://github.com/fja05680/sp500,2026-09-08T06:18:58.688469+00:00,repository MIT; underlying baseline provenance requires review,free,,,,False,False,False,False,"Verify baseline/entry, all intervening changes, exit/cutoff and security identity with primary evidence."
AVY,1996-01-02,2026-08-18,active_at_source_cutoff,community historical reconstruction; pending independent verification,https://github.com/fja05680/sp500,2026-09-08T06:18:58.688469+00:00,repository MIT; underlying baseline provenance requires review,free,,,,False,False,False,False,"Verify baseline/entry, all intervening changes, exit/cutoff and security identity with primary evidence."
AWK,2016-03-04,2026-08-18,active_at_source_cutoff,community historical reconstruction; pending independent verification,https://github.com/fja05680/sp500,2026-09-08T06:18:58.688469+00:00,repository MIT; underlying baseline provenance requires review,free,,,,False,False,False,False,"Verify baseline/entry, all intervening changes, exit/cutoff and security identity with primary evidence."
AXON,2023-05-04,2026-08-18,active_at_source_cutoff,community historical reconstruction; pending independent verification,https://github.com/fja05680/sp500,2026-09-08T06:18:58.688469+00:00,repository MIT; underlying baseline provenance requires review,free,2023-05-04-AXON-addition,,,True,False,False,False,"Verify baseline/entry, all intervening changes, exit/cutoff and security identity with primary evidence."
AXP,1996-01-02,2026-08-18,active_at_source_cutoff,community historical reconstruction; pending independent verification,https://github.com/fja05680/sp500,2026-09-08T06:18:58.688469+00:00,repository MIT; underlying baseline provenance requires review,free,,,,False,False,False,False,"Verify baseline/entry, all intervening changes, exit/cutoff and security identity with primary evidence."
AYI,2016-05-03,2018-06-17,removed,community historical reconstruction; pending independent verification,https://github.com/fja05680/sp500,2026-09-08T06:18:58.688469+00:00,repository MIT; underlying baseline provenance requires review,free,,,,False,False,False,False,"Verify baseline/entry, all intervening changes, exit/cutoff and security identity with primary evidence."
AZO,1997-01-02,2026-08-18,active_at_source_cutoff,community historical reconstruction; pending independent verification,https://github.com/fja05680/sp500,2026-09-08T06:18:58.688469+00:00,repository MIT; underlying baseline provenance requires review,free,,,,False,False,False,False,"Verify baseline/entry, all intervening changes, exit/cutoff and security identity with primary evidence."
BA,1996-01-02,2026-08-18,active_at_source_cutoff,community historical reconstruction; pending independent verification,https://github.com/fja05680/sp500,2026-09-08T06:18:58.688469+00:00,repository MIT; underlying baseline provenance requires review,free,,,,False,False,False,False,"Verify baseline/entry, all intervening changes, exit/cutoff and security identity with primary evidence."
BAC,1996-01-02,2026-08-18,active_at_source_cutoff,community historical reconstruction; pending independent verification,https://github.com/fja05680/sp500,2026-09-08T06:18:58.688469+00:00,repository MIT; underlying baseline provenance requires review,free,,,,False,False,False,False,"Verify baseline/entry, all intervening changes, exit/cutoff and security identity with primary evidence."
BALL,2022-05-10,2026-08-18,active_at_source_cutoff,community historical reconstruction; pending independent verification,https://github.com/fja05680/sp500,2026-09-08T06:18:58.688469+00:00,repository MIT; underlying baseline provenance requires review,free,,,,False,False,False,False,"Verify baseline/entry, all intervening changes, exit/cutoff and security identity with primary evidence."
BAX,1996-01-02,2026-08-18,active_at_source_cutoff,community historical reconstruction; pending independent verification,https://github.com/fja05680/sp500,2026-09-08T06:18:58.688469+00:00,repository MIT; underlying baseline provenance requires review,free,,,,False,False,False,False,"Verify baseline/entry, all intervening changes, exit/cutoff and security identity with primary evidence."
BBBY,1999-10-01,2017-07-25,removed,community historical reconstruction; pending independent verification,https://github.com/fja05680/sp500,2026-09-08T06:18:58.688469+00:00,repository MIT; underlying baseline provenance requires review,free,,2017-07-26-BBBY-deletion,https://www.sec.gov/Archives/edgar/data/886158/000088615822000047/bbby-20220226.htm | https://www.sec.gov/Archives/edgar/data/1130713/000114036125032363/ef20054350_8k.htm,False,True,False,False,"Verify baseline/entry, all intervening changes, exit/cutoff and security identity with primary evidence."
BBT,1997-12-04,2019-12-08,removed,community historical reconstruction; pending independent verification,https://github.com/fja05680/sp500,2026-09-08T06:18:58.688469+00:00,repository MIT; underlying baseline provenance requires review,free,,,,False,False,False,False,"Verify baseline/entry, all intervening changes, exit/cutoff and security identity with primary evidence."
BBWI,2021-08-03,2024-09-30,removed,community historical reconstruction; pending independent verification,https://github.com/fja05680/sp500,2026-09-08T06:18:58.688469+00:00,repository MIT; underlying baseline provenance requires review,free,,,,False,False,False,False,"Verify baseline/entry, all intervening changes, exit/cutoff and security identity with primary evidence."
BBY,1999-06-30,2026-08-18,active_at_source_cutoff,community historical reconstruction; pending independent verification,https://github.com/fja05680/sp500,2026-09-08T06:18:58.688469+00:00,repository MIT; underlying baseline provenance requires review,free,,,,False,False,False,False,"Verify baseline/entry, all intervening changes, exit/cutoff and security identity with primary evidence."
BCR,1996-01-02,2017-12-28,removed,community historical reconstruction; pending independent verification,https://github.com/fja05680/sp500,2026-09-08T06:18:58.688469+00:00,repository MIT; underlying baseline provenance requires review,free,,,,False,False,False,False,"Verify baseline/entry, all intervening changes, exit/cutoff and security identity with primary evidence."
BDX,1996-01-02,2026-08-18,active_at_source_cutoff,community historical reconstruction; pending independent verification,https://github.com/fja05680/sp500,2026-09-08T06:18:58.688469+00:00,repository MIT; underlying baseline provenance requires review,free,,,,False,False,False,False,"Verify baseline/entry, all intervening changes, exit/cutoff and security identity with primary evidence."
BEAM,1996-01-02,2014-04-30,removed,community historical reconstruction; pending independent verification,https://github.com/fja05680/sp500,2026-09-08T06:18:58.688469+00:00,repository MIT; underlying baseline provenance requires review,free,,,,False,False,False,False,"Verify baseline/entry, all intervening changes, exit/cutoff and security identity with primary evidence."
