date,entry_date,exit_date,ticker,signal,signal_quality,confidence,expected_return,position_pct,regime_mult,regime_state,vix_at_trade,entry_price,exit_price,holding_days,net_pnl,sector
2015-02-09,2015-02-10,2015-02-18,MSFT,LONG,HIGH,61.97,1.06,18.75,1.0,unknown,18.5,36.4215,37.2096,5,34.4,XLK
2015-02-11,2015-02-12,2015-02-20,MU,LONG,MEDIUM,63.25,0.23,15.0,1.0,unknown,17.0,30.353,31.176,5,35.73,XLK
2015-02-11,2015-02-12,2015-02-20,MSFT,LONG,MEDIUM,60.12,0.98,15.0,1.0,unknown,17.0,36.3533,37.4917,5,41.4,XLK
2015-02-12,2015-02-13,2015-02-23,MSFT,LONG,MEDIUM,61.53,0.62,15.0,1.0,unknown,15.3,36.9669,37.7396,5,28.25,XLK
2015-02-17,2015-02-18,2015-02-25,MU,LONG,MEDIUM,64.71,0.13,15.0,1.0,unknown,15.8,31.5257,29.6673,5,-82.57,XLK
2015-02-17,2015-02-18,2015-02-25,MSFT,LONG,MEDIUM,60.69,0.77,15.0,1.0,unknown,15.8,37.4445,37.6028,5,5.52,XLK
2015-02-18,2015-02-19,2015-02-26,MU,LONG,MEDIUM,70.38,0.17,15.0,1.0,unknown,15.4,31.3889,29.8036,5,-70.51,XLK
2015-02-18,2015-02-19,2015-02-26,MSFT,LONG,MEDIUM,63.22,0.79,15.0,1.0,unknown,15.4,37.0583,37.6626,5,22.25,XLK
2015-02-19,2015-02-20,2015-02-27,MU,LONG,MEDIUM,64.73,0.17,15.0,1.0,unknown,15.3,31.0175,29.8522,5,-52.33,XLK
2015-02-20,2015-02-23,2015-03-02,MU,LONG,MEDIUM,71.75,0.03,15.0,1.0,unknown,14.3,31.1348,30.407,5,-33.0,XLK
2015-02-23,2015-02-24,2015-03-03,MU,LONG,MEDIUM,72.67,0.03,15.0,1.0,unknown,14.6,29.4539,28.8692,5,-27.88,XLK
2015-02-24,2015-02-25,2015-03-04,MU,LONG,MEDIUM,73.21,0.04,15.0,1.0,unknown,13.7,29.9035,28.4896,5,-65.12,XLK
2015-02-25,2015-02-26,2015-03-05,MU,LONG,MEDIUM,73.02,0.07,15.0,1.0,unknown,13.8,29.8448,28.4993,5,-61.54,XLK
2015-02-26,2015-02-27,2015-03-06,MU,LONG,MEDIUM,75.9,0.06,15.0,1.0,unknown,13.9,30.2651,27.7401,5,-113.84,XLK
2015-02-27,2015-03-02,2015-03-09,MU,LONG,MEDIUM,70.72,0.05,15.0,1.0,unknown,13.3,30.3725,27.8958,5,-111.18,XLK
2015-03-02,2015-03-03,2015-03-10,MU,LONG,MEDIUM,76.27,0.06,15.0,1.0,unknown,13.0,29.6885,26.8738,5,-131.02,XLK
2015-03-03,2015-03-04,2015-03-11,MU,LONG,MEDIUM,70.32,0.05,15.0,1.0,unknown,13.9,29.0435,27.1366,5,-87.04,XLK
2015-03-04,2015-03-05,2015-03-12,MU,LONG,MEDIUM,64.53,0.11,15.0,1.0,unknown,14.2,28.7797,27.2729,5,-68.61,XLK
2015-03-05,2015-03-06,2015-03-13,MU,LONG,MEDIUM,61.28,0.17,15.0,1.0,unknown,14.0,28.5549,27.9542,5,-27.81,XLK
2015-03-06,2015-03-09,2015-03-16,MU,LONG,MEDIUM,61.08,0.25,15.0,1.0,unknown,15.2,27.8904,27.7498,5,-6.85,XLK
